"","Date","CharacterName","CharacterName1","CharacterName2","CharacterName3","Smiley","Rarity","MaxHP","Power","Damage_Range","Type","Target","L1","L2","L3","L4","L5","MAX","PowerName","AP","Color","Use","L1.AP","L2.AP","L3.AP","L4.AP","L5.AP","Tile_Convert_Active_Color","Tile_Convert_Source","Tile_Convert_Color","Tile_Charged_Color","Proc_On_Match","Proc_On_CD_Present","Proc_On_CD_Count","Proc_On_Damage","Proc_On_Ability_Use","Direct_Damage","Conditional_Damage","Possible_Damage","Defensive","Offensive","Team_Damage","Cheap","Moderately_Cheap","Moderately_Expensive","Expensive","Healing","Stun","Shake","Backfire","Convert_Tile_Color","Improve_Special_Tile","Manipulate_CD","Add_Strike_Tile","Add_Attack_Tile","Add_Protect_Tile","Add_Charged_Tile","Add_Critical_Tile","Add_Trap_Tile","Add_CD_Tile","Add_2_Turn_CD_Tile","Add_Web_Tile","Add_Locked_Tile","Add_Invis_Tile","Add_Special_Tile","Remove_Special_Tile","Steal_Special_Tile","Destroy_AP","Gain_AP","Steal_AP","Manipulate_AP"
"1","","Silver Surfer (Skyrider)","Silver Surfer","Skyrider","Silver Surfer",":silversurfer:",5,59347,"SS_P1a","","heal","self",2745,3321,3516,4049,4109,16519,"Perfect Being",12,"blue","active","228.75","276.75","293","337.416666666667","342.416666666667","","","","any","","","","","","no","no","","yes","","","","","","yes","yes","","","","","","","","","","yes","","","","","","","","","","","","","",""
"2","","Silver Surfer (Skyrider)","Silver Surfer","Skyrider","Silver Surfer",":silversurfer:",5,59347,"SS_P1b","","heal","self",NA,NA,NA,NA,NA,NA,"Perfect Being",0,"blue","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","","","no","no","","yes","","","","","","","yes","","","","","","","","","","","","","","","","","","","","","","","",""
"3","","Silver Surfer (Skyrider)","Silver Surfer","Skyrider","Silver Surfer",":silversurfer:",5,59347,"SS_P2","","damage","target",1321,1547,1547,1797,2040,8197,"Cosmic Beam",7,"red","active","188.714285714286","221","221","256.714285714286","291.428571428571","","","","any","","","","","","yes","no","yes","","yes","","yes","","","","","","","","","","","","","","yes","","","","","","","","","","","","","",""
"4","","Silver Surfer (Skyrider)","Silver Surfer","Skyrider","Silver Surfer",":silversurfer:",5,59347,"SS_P3","","cd",NA,NA,NA,NA,NA,NA,NA,"Silver Singularity",13,"black","active","","","","","","","","","","","yes","","","","no","no","","","yes","","","","","yes","","","yes","","","","","","","","","","","yes","yes","","","","","","","","yes","","yes"
"5","","Wolverine (Old Man Logan) [Claws In]","Wolverine [Claws In]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P1a","","strike",NA,544,621,699,777,828,3332,"Living Legend",9,"black","active","60.4444444444444","69","77.6666666666667","86.3333333333333","92","","","","","","","","","","no","no","","","yes","","","yes","","","","","","","","","","yes","","","","","","","","","","","yes","","","","","",""
"6","","Wolverine (Old Man Logan) [Claws Out]","Wolverine [Claws Out]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P1b_min","(min)","damage","target",2486,2983,3480,3978,4475,17989,"Still Sharp",7,"black","active","355.142857142857","426.142857142857","497.142857142857","568.285714285714","639.285714285714","","","","","","","","","","yes","yes","yes","","yes","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","Wolverine (Old Man Logan) [Claws Out]","Wolverine [Claws Out]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P1b_max","(max)","damage","target",3806,4567,6252,7146,9227,37105,"Still Sharp",7,"black","active","543.714285714286","652.428571428571","893.142857142857","1020.85714285714","1318.14285714286","","","","","","","","","","yes","yes","yes","","yes","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","Wolverine (Old Man Logan) [Claws In]","Wolverine [Claws In]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P2a_min","(min)","heal","self",219,263,307,350,394,1586,"Die Hard",0,"yellow","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","","","no","no","","yes","","","","","","","yes","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","Wolverine (Old Man Logan) [Claws In]","Wolverine [Claws In]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P2a_max","(max)","heal","self",11418,13701,18756,21438,27681,111315,"Die Hard",0,"yellow","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","","","no","no","","yes","","","","","","","yes","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","Wolverine (Old Man Logan) [Claws Out]","Wolverine [Claws Out]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P2b_min","(min)","damage","team",440,440,610,610,781,3140,"Old Habits",7,"yellow","active","62.8571428571429","62.8571428571429","87.1428571428571","87.1428571428571","111.571428571429","","","","","","","","","","yes","yes","yes","","yes","yes","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","Wolverine (Old Man Logan) [Claws Out]","Wolverine [Claws Out]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P2b_max","(max)","damage","team",751,813,983,1087,1258,5055,"Old Habits",7,"yellow","active","107.285714285714","116.142857142857","140.428571428571","155.285714285714","179.714285714286","","","","","","","","","","yes","yes","yes","","yes","yes","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","Wolverine (Old Man Logan) [Claws In]","Wolverine [Claws In]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P3a","","strike",NA,156,156,170,182,196,780,"Reluctant Hero",0,"red","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","yes","","no","no","","","yes","","","","","","","","","yes","","","","yes","","","","","","","","","","","yes","","","","","",""
